ANO;MÊS;ID;ÍNDICE;VAR MÊS;VAR 2018.12
2015;12;2015.12;4493,17;0,96;1,13519186
2016;1;2016.1;4550,23;1,27;1,12095652
2016;2;2016.2;4591,18;0,90;1,11095840
2016;3;2016.3;4610,92;0,43;1,10620223
2016;4;2016.4;4639,05;0,61;1,09949451
2016;5;2016.5;4675,23;0,78;1,09098590
2016;6;2016.6;4691,59;0,35;1,08718153
2016;7;2016.7;4715,99;0,52;1,08155658
2016;8;2016.8;4736,74;0,44;1,07681866
2016;9;2016.9;4740,53;0,08;1,07595775
2016;10;2016.10;4752,86;0,26;1,07316647
2016;11;2016.11;4761,42;0,18;1,07123715
2016;12;2016.12;4775,70;0,30;1,06803401
2017;1;2017.1;4793,85;0,38;1,06399032
2017;2;2017.2;4809,67;0,33;1,06049064
2017;3;2017.3;4821,69;0,25;1,05784694
2017;4;2017.4;4828,44;0,14;1,05636810
2017;5;2017.5;4843,41;0,31;1,05310308
2017;6;2017.6;4832,27;-0,23;1,05553084
2017;7;2017.7;4843,87;0,24;1,05300307
2017;8;2017.8;4853,07;0,19;1,05100689
2017;9;2017.9;4860,83;0,16;1,04932902
2017;10;2017.10;4881,25;0,42;1,04493931
2017;11;2017.11;4894,92;0,28;1,04202112
2017;12;2017.12;4916,46;0,44;1,03745581
2018;1;2018.1;4930,72;0,29;1,03445541
2018;2;2018.2;4946,50;0,32;1,03115536
2018;3;2018.3;4950,95;0,09;1,03022854
2018;4;2018.4;4961,84;0,22;1,02796745
2018;5;2018.5;4981,69;0,40;1,02387142
2018;6;2018.6;5044,46;1,26;1,01113102
2018;7;2018.7;5061,11;0,33;1,00780461
2018;8;2018.8;5056,56;-0,09;1,00871146
2018;9;2018.9;5080,83;0,48;1,00389306
2018;10;2018.10;5103,69;0,45;0,99939652
2018;11;2018.11;5092,97;-0,21;1,00150011
2018;12;2018.12;5100,61;0,15;1,00000000
